date,open,high,low,close,price_change_pct,volume,turnover,year,eps,pe-ratio,roe,dividend
2023-05-31,710.0,717.0,698.0,703.0,-1.68,86240.0,60669893.6,2023,39.65,19.8,17.58,30.53
2023-06-01,710.0,716.0,698.5,713.5,1.49,64360.0,45575460.4,2023,39.65,19.8,17.58,30.53
2023-06-04,710.0,735.0,710.0,712.6,-0.13,85849.0,62185019.0,2023,39.65,19.8,17.58,30.53
2023-06-05,724.9,724.9,712.0,712.1,-0.07,51968.0,37186706.1,2023,39.65,19.8,17.58,30.53
2023-06-06,716.0,720.0,713.1,716.0,0.55,20101.0,14378676.1,2023,39.65,19.8,17.58,30.53
2023-06-07,716.0,724.0,715.1,716.5,0.07,35488.0,25567987.7,2023,39.65,19.8,17.58,30.53
2023-06-08,715.0,721.9,714.5,719.0,0.35,28350.0,20355617.2,2023,39.65,19.8,17.58,30.53
2023-06-11,721.0,735.0,716.2,731.0,1.67,97299.0,70586246.3,2023,39.65,19.8,17.58,30.53
2023-06-12,733.0,746.0,733.0,739.0,1.09,57704.0,42661573.5,2023,39.65,19.8,17.58,30.53
2023-06-13,753.7,753.7,733.0,750.0,1.49,87057.0,65051043.2,2023,39.65,19.8,17.58,30.53
2023-06-14,735.0,784.0,735.0,775.0,3.33,142091.0,109270745.6,2023,39.65,19.8,17.58,30.53
2023-06-15,775.0,778.0,760.0,778.0,0.39,54223.0,41639999.2,2023,39.65,19.8,17.58,30.53
2023-06-18,785.0,786.0,769.0,778.0,0.0,44461.0,34656631.5,2023,39.65,19.8,17.58,30.53
2023-06-19,779.0,780.0,767.0,768.2,-1.26,54506.0,42092586.0,2023,39.65,19.8,17.58,30.53
2023-06-20,775.0,778.0,755.0,759.0,-1.2,34384.0,26281730.4,2023,39.65,19.8,17.58,30.53
2023-06-21,764.0,771.0,750.0,750.0,-1.19,52004.0,39215589.4,2023,39.65,19.8,17.58,30.53
2023-06-22,755.0,760.0,743.0,750.0,0.0,63239.0,47486343.6,2023,39.65,19.8,17.58,30.53
2023-06-25,750.0,770.0,740.0,769.0,2.53,89107.0,67460152.6,2023,39.65,19.8,17.58,30.53
2023-06-26,782.8,793.0,775.0,787.0,2.34,104175.0,81795086.9,2023,39.65,19.8,17.58,30.53
2023-06-27,800.0,803.4,785.0,800.3,1.69,74430.0,59353368.7,2023,39.65,19.8,17.58,30.53
2023-06-28,809.0,814.0,782.0,785.5,-1.85,100750.0,79687806.3,2023,39.65,19.8,17.58,30.53
2023-07-02,780.0,795.4,766.0,768.5,-2.16,85825.0,66570866.6,2023,39.65,19.8,17.58,30.53
2023-07-03,768.5,774.0,761.0,766.0,-0.33,37583.0,28834740.2,2023,39.65,19.8,17.58,30.53
2023-07-04,770.0,779.0,761.0,770.0,0.52,48521.0,37274891.6,2023,39.65,19.8,17.58,30.53
2023-07-05,770.1,780.0,766.0,769.4,-0.08,56329.0,43406162.9,2023,39.65,19.8,17.58,30.53
2023-07-06,778.9,778.9,761.0,766.0,-0.44,37975.0,29212184.8,2023,39.65,19.8,17.58,30.53
2023-07-09,778.9,789.9,772.3,789.0,3.0,43972.0,34319755.9,2023,39.65,19.8,17.58,30.53
2023-07-10,794.0,797.0,785.0,788.9,-0.01,61999.0,48997684.0,2023,39.65,19.8,17.58,30.53
2023-07-11,790.0,793.9,781.0,783.0,-0.75,37571.0,29557847.0,2023,39.65,19.8,17.58,30.53
2023-07-12,790.0,793.5,775.0,780.0,-0.38,49480.0,38696668.2,2023,39.65,19.8,17.58,30.53
2023-07-13,790.0,790.0,779.2,781.9,0.24,40669.0,31822025.3,2023,39.65,19.8,17.58,30.53
2023-07-16,790.0,796.0,782.0,793.8,1.52,48967.0,38720419.3,2023,39.65,19.8,17.58,30.53
2023-07-17,798.0,807.0,789.0,803.0,1.16,55849.0,44687582.3,2023,39.65,19.8,17.58,30.53
2023-07-18,809.6,818.0,803.0,810.0,0.87,83521.0,67924379.1,2023,39.65,19.8,17.58,30.53
2023-07-19,810.0,817.0,800.0,810.0,0.0,181640.0,147082958.6,2023,39.65,19.8,17.58,30.53
2023-07-20,817.0,818.0,806.2,811.0,0.12,67669.0,54854937.0,2023,39.65,19.8,17.58,30.53
2023-07-23,820.0,825.1,808.0,822.0,1.36,136053.0,111285459.6,2023,39.65,19.8,17.58,30.53
2023-07-24,825.0,825.0,806.1,810.0,-1.46,89524.0,72811500.2,2023,39.65,19.8,17.58,30.53
2023-07-25,809.9,815.0,793.0,794.5,-1.91,86821.0,69480231.7,2023,39.65,19.8,17.58,30.53
2023-07-26,800.0,805.0,788.0,790.1,-0.55,68079.0,54116753.8,2023,39.65,19.8,17.58,30.53
2023-07-27,774.3,802.0,774.3,784.0,-0.77,61909.0,48818485.6,2023,39.65,19.8,17.58,30.53
2023-07-30,798.0,798.0,774.1,777.0,-0.89,74894.0,58389290.0,2023,39.65,19.8,17.58,30.53
2023-07-31,786.0,800.0,770.3,785.0,1.03,51397.0,40303176.7,2023,39.65,19.8,17.58,30.53
2023-08-01,770.0,794.0,770.0,778.0,-0.89,48045.0,37540129.8,2023,39.65,19.8,17.58,30.53
2023-08-02,790.0,790.0,774.2,779.0,0.13,34169.0,26611018.4,2023,39.65,19.8,17.58,30.53
2023-08-03,790.0,793.1,782.1,789.0,1.28,42059.0,33107873.6,2023,39.65,19.8,17.58,30.53
2023-08-06,800.0,812.0,774.0,778.0,-1.39,141442.0,111288329.7,2023,39.65,19.8,17.58,30.53
2023-08-07,770.0,786.0,770.0,775.0,-0.39,52929.0,41153680.4,2023,39.65,19.8,17.58,30.53
2023-08-08,775.0,784.0,770.1,770.1,-0.63,30614.0,23695943.8,2023,39.65,19.8,17.58,30.53
2023-08-09,771.0,785.9,770.0,785.9,2.05,32720.0,25402527.8,2023,39.65,19.8,17.58,30.53
2023-08-10,786.0,790.0,772.3,787.0,0.14,65038.0,50827014.5,2023,39.65,19.8,17.58,30.53
2023-08-13,789.0,800.0,782.0,798.0,1.4,51617.0,41059338.7,2023,39.65,19.8,17.58,30.53
2023-08-14,798.0,806.0,796.0,798.0,0.0,69704.0,55757861.2,2023,39.65,19.8,17.58,30.53
2023-08-15,799.0,799.0,784.1,785.0,-1.63,29917.0,23639455.5,2023,39.65,19.8,17.58,30.53
2023-08-16,785.0,785.0,773.0,785.0,0.0,31107.0,24231455.7,2023,39.65,19.8,17.58,30.53
2023-08-17,785.0,797.0,778.0,781.9,-0.39,27752.0,21774315.3,2023,39.65,19.8,17.58,30.53
2023-08-20,776.1,790.0,776.1,780.0,-0.24,34292.0,26785787.9,2023,39.65,19.8,17.58,30.53
